"ID","adresse","nom_societe","objet_societe","url_societe"
1,"10 rue laure diebold 69009 Lyon","WebWedesign","agence design web","www.webwedesign.eu"
2,"12 place des nobles 71480 Cuiseaux","Chocolat Events","agence evenementiel","www.chocolatevents.com"
3,"54 rue bordes 71500 Louhans","Societe generale Cuiseaux","banque","www.particuliers.societegenerale.fr"
4,"75 grand rue saint clair 69300 Caluire et cuire","Pro-Anim","location materiel et personnel evenementiel","www.pro-anim.com"
5,"Rue de rive 4, 1204 Genève","Apple Store","Materiel informatique","www.apple.com/chfr"
6,"162-164 rue de Billancourt, Boulogne Billancourt","TBWA France","Agence communication","http://www.tbwa-france.com/"
7,"30 Place Notre Dame du Mont, 13006 Marseille ","La Dame Noire","Boite de Nuit","www.ladamenoir.fr"
8,"Chemin des Franques, 38190 Bernin (France) ","Soitec","production de matériaux semi-conducteurs ","www.soitec.com/fr"
9,"13 rue du bassin 13012 Marseille ","Twicy Store","Site de vente de vetement","www.twicy-store.com/"
10,"77 harrison Street, Newtown Johannesburg","Le Mix Room","nightclub/terrace","www.facebook.com/pages/Le-Rooftop/151161974901790/"
